Date Time,Week,Operating Reserve (MW)
20210426,1,3198
20210427,2,3474
20210428,3,3169
20210429,4,3296
20210430,5,3058
20210501,6,2884
20210502,7,2975
20210503,1,3234
20210504,2,3360
20210505,3,3578
20210506,4,3465
20210507,5,3518
20210508,6,3305
20210509,7,2975
20210510,1,3519
20210511,2,3611
20210512,3,3669
20210513,4,3682
20210514,5,3344
20210515,6,3507
20210516,7,3306
20210517,1,1437
20210518,2,3095
20210519,3,2880
20210520,4,2570
20210521,5,2882
20210522,6,3653
20210523,7,2244
20210524,1,2285
20210525,2,2797
20210526,3,2388
20210527,4,2523
20210528,5,2326
20210529,6,4990
20210530,7,3604
20210531,1,4077
20210601,2,3562
20210602,3,3989
20210603,4,3799
20210604,5,3726
20210605,6,3987
20210606,7,4063
20210607,1,4602
20210608,2,3775
20210609,3,3914
20210610,4,3750
20210611,5,2900
20210612,6,3046
20210613,7,2729
20210614,1,3273
20210615,2,3750
20210616,3,3715
20210617,4,3833
20210618,5,3848
20210619,6,4685
20210620,7,4156
20210621,1,3986
20210622,2,3589
20210623,3,3901
20210624,4,4694
20210625,5,5589
20210626,6,4203
20210627,7,4320
20210628,1,5005
20210629,2,5282
20210630,3,5987
20210701,4,6039
20210702,5,4602
20210703,6,4326
20210704,7,4525
20210705,1,2269
20210706,2,3924
20210707,3,3799
20210708,4,3805
20210709,5,3858
20210710,6,3811
20210711,7,3394
20210712,1,3464
20210713,2,2872
20210714,3,3833
20210715,4,4013
20210716,5,4235
20210717,6,4113
20210718,7,4457
20210719,1,3338
20210720,2,4043
20210721,3,5476
20210722,4,5400
20210723,5,5658
20210724,6,4372
20210725,7,3494
20210726,1,4518
20210727,2,3950
20210728,3,3033
20210729,4,3834
20210730,5,3833
20210731,6,5201
20210801,7,5487
20210802,1,4516
20210803,2,5591
20210804,3,4495
20210805,4,4526
20210806,5,4637
20210807,6,3438
20210808,7,4066
20210809,1,4845
20210810,2,4897
20210811,3,5975
20210812,4,5950
20210813,5,5481
20210814,6,5364
20210815,7,3483
20210816,1,4420
20210817,2,4393
20210818,3,4364
20210819,4,4913
20210820,5,5119
20210821,6,4736
20210822,7,3853
20210823,1,4656
20210824,2,3983
20210825,3,3951
20210826,4,4487
20210827,5,4788
20210828,6,5328
20210829,7,4682
20210830,1,3749
20210831,2,4829
20210901,3,3849
20210902,4,4267
20210903,5,3970
20210904,6,5140
20210905,7,4563
20210906,1,3883
20210907,2,3843
20210908,3,3860
20210909,4,3902
20210910,5,3303
20210911,6,3720
20210912,7,4008
20210913,1,3846
20210914,2,3958
20210915,3,3899
20210916,4,4841
20210917,5,4646
20210918,6,4609
20210919,7,3153
20210920,1,6911
20210921,2,6556
20210922,3,3817
20210923,4,3133
20210924,5,4457
20210925,6,5348
20210926,7,3209
20210927,1,4395
20210928,2,5268
20210929,3,4843
20210930,4,5212
20211001,5,3175
20211002,6,5235
20211003,7,3317
20211004,1,3756
20211005,2,2670
20211006,3,2327
20211007,4,1629
20211008,5,1854
20211009,6,5141
20211010,7,3642
20211011,1,2614
20211012,2,2384
20211013,3,2572
20211014,4,2883
20211015,5,2808
20211016,6,5663
20211017,7,6547
20211018,1,5902
20211019,2,5502
20211020,3,5030
20211021,4,6040
20211022,5,3899
20211023,6,4683
20211024,7,5049
20211025,1,4043
20211026,2,3471
20211027,3,3915
20211028,4,6817
20211029,5,5412
20211030,6,3806
20211031,7,4487
20211101,1,3357
20211102,2,2949
20211103,3,4206
20211104,4,3767
20211105,5,2818
20211106,6,5471
20211107,7,2584
20211108,1,5417
20211109,2,3914
20211110,3,3685
20211111,4,3857
20211112,5,4319
20211113,6,5117
20211114,7,4828
20211115,1,3571
20211116,2,3899
20211117,3,3858
20211118,4,3466
20211119,5,5704
20211120,6,4095
20211121,7,4098
20211122,1,6608
20211123,2,4036
20211124,3,3859
20211125,4,3937
20211126,5,4089
20211127,6,3727
20211128,7,3435
20211129,1,2773
20211130,2,4007
20211201,3,4556
20211202,4,3821
20211203,5,4967
20211204,6,4418
20211205,7,3620
20211206,1,3792
20211207,2,2841
20211208,3,4243
20211209,4,3256
20211210,5,3531
20211211,6,3273
20211212,7,4515
20211213,1,4083
20211214,2,3050
20211215,3,2686
20211216,4,2864
20211217,5,6616
20211218,6,4279
20211219,7,3428
20211220,1,2642
20211221,2,2862
20211222,3,3057
20211223,4,2423
20211224,5,3190
20211225,6,3035
20211226,7,3429
20211227,1,3768
20211228,2,3253
20211229,3,2807
20211230,4,4376
20211231,5,3927
20220101,6,3346
20220102,7,3641
20220103,1,3184
20220104,2,2620
20220105,3,2512
20220106,4,3209
20220107,5,3010
20220108,6,3147
20220109,7,3158
20220110,1,2491
20220111,2,2414
20220112,3,2220
20220113,4,2475
20220114,5,2681
20220115,6,2293
20220116,7,3429
20220117,1,2716
20220118,2,2425
20220119,3,3002
20220120,4,2661
20220121,5,2179
20220122,6,3032
20220123,7,2301
20220124,1,3167
20220125,2,2963
20220126,3,2549
20220127,4,3464
20220128,5,4700
20220129,6,3346
20220130,7,3087
20220131,1,3111
20220201,2,4421
20220202,3,3233
20220203,4,3136
20220204,5,3577
20220205,6,2931
20220206,7,3108
20220207,1,2986
20220208,2,3395
20220209,3,2833
20220210,4,2972
20220211,5,3343
20220212,6,2921
20220213,7,3757
20220214,1,2966
20220215,2,2877
20220216,3,3665
20220217,4,3043
20220218,5,3184
20220219,6,2989
20220220,7,2972
20220221,1,2006
20220222,2,2603
20220223,3,2567
20220224,4,2511
20220225,5,3406
20220226,6,3437
20220227,7,3730
20220228,1,4127
20220301,2,2510
20220302,3,3135
20220303,4,7126
20220304,5,3261
20220305,6,4338
20220306,7,4632
20220307,1,2527
20220308,2,3290
20220309,3,2550
20220310,4,3088
20220311,5,3148
20220312,6,3438
20220313,7,2839
20220314,1,2659
20220315,2,2986
20220316,3,2859
20220317,4,2712
20220318,5,4424
20220319,6,2675
20220320,7,3050
20220321,1,2751
20220322,2,3735
20220323,3,3717
20220324,4,2381
20220325,5,3394
20220326,6,3277
